transaction_id,sender,receiver,amount,day,type
TX-3-0065,P18,P10,25000,34,normal
TX-3-0066,P60,P78,75000,13,normal
TX-3-0067,P60,P10,8500,56,normal
TX-3-0068,P14,P77,120000,47,normal
TX-3-0069,P28,P59,1200,28,normal
TX-3-0070,P27,P16,4500,22,normal
TX-3-0071,P52,P75,8500,13,normal
TX-3-0072,P44,P10,1200,28,normal
TX-3-0073,P07,P28,12000,3,normal
TX-3-0074,P38,P34,25000,53,normal
TX-3-0075,P18,P69,8500,67,normal
TX-3-0076,P74,P17,25000,3,normal
TX-3-0077,P14,P30,4500,64,normal
TX-3-0078,P28,P55,12000,44,normal
TX-3-0079,P62,P53,8500,32,normal
TX-3-0080,P45,P46,25000,57,normal
TX-3-0081,P54,P64,12000,55,normal
TX-3-0082,P36,P72,12000,59,normal
TX-3-0083,P10,P06,1200,44,normal
TX-3-0084,P77,P34,4500,16,normal
TX-3-0085,P77,P21,75000,5,normal
TX-3-0086,P59,P74,1200,61,normal
TX-3-0087,P49,P18,75000,5,normal
TX-3-0088,P18,P06,4500,69,normal
TX-3-0089,P52,P15,4500,47,normal
TX-3-0090,P67,P76,4500,26,normal
TX-3-0091,P02,P62,75000,27,normal
TX-3-0092,P72,P77,25000,19,normal
TX-3-0093,P39,P56,1200,51,normal
TX-3-0094,P49,P40,1200,63,normal
TX-3-0095,P45,P05,120000,39,normal
TX-3-0096,P38,P05,75000,44,normal
TX-3-0097,P40,P55,120000,63,normal
TX-3-0098,P77,P54,1200,10,normal
TX-3-0099,P07,P64,120000,42,normal
TX-3-0100,P69,P17,12000,59,normal
TX-3-0101,P75,P57,25000,63,normal
TX-3-0102,P61,P03,4500,17,normal
TX-3-0103,P58,P35,12000,57,normal
TX-3-0104,P51,P20,12000,46,normal
TX-3-0105,P17,P61,12000,26,normal
TX-3-0106,P62,P10,8500,16,normal
TX-3-0107,P61,P47,120000,6,normal
TX-3-0108,P43,P17,12000,5,normal
TX-3-0109,P34,P51,8500,10,normal
TX-3-0110,P03,P69,75000,35,normal
TX-3-0111,P55,P67,120000,40,normal
TX-3-0112,P05,P03,8500,51,normal
TX-3-0113,P62,P63,120000,12,normal
TX-3-0114,P06,P13,1200,16,normal
TX-3-0115,P59,P37,75000,23,normal
TX-3-0116,P36,P06,12000,30,normal
TX-3-0117,P30,P78,4500,14,normal
TX-3-0118,P06,P35,25000,25,normal
TX-3-0119,P76,P43,1200,47,normal
TX-3-0120,P56,P51,25000,33,normal
TX-3-0121,P24,P20,12000,24,normal
TX-3-0122,P65,P76,1200,55,normal
TX-3-0123,P03,P18,4500,60,normal
TX-3-0124,P52,P20,4500,21,normal
TX-3-0125,P62,P42,120000,27,normal
TX-3-0126,P02,P05,1200,55,normal
TX-3-0127,P76,P42,4500,12,normal
TX-3-0128,P78,P35,12000,9,normal
TX-3-0129,P72,P53,4500,2,normal
TX-3-0130,P65,P64,1200,18,normal
TX-3-0131,P54,P04,75000,42,normal
TX-3-0132,P14,P52,12000,11,normal
TX-3-0133,P58,P12,4500,5,normal
TX-3-0134,P78,P08,25000,64,normal
TX-3-0135,P52,P09,25000,8,normal
TX-3-0136,P43,P46,25000,42,normal
TX-3-0137,P13,P15,25000,64,normal
TX-3-0138,P61,P53,25000,67,normal
TX-3-0139,P75,P24,75000,64,normal
TX-3-0140,P16,P27,4500,53,normal
TX-3-0141,P05,P61,8500,30,normal
TX-3-0142,P03,P66,75000,8,normal
TX-3-0143,P73,P39,1200,35,normal
TX-3-0144,P12,P68,75000,46,normal
TX-3-0145,P29,P25,25000,50,normal
TX-3-0146,P32,P45,75000,3,normal
TX-3-0147,P63,P40,8500,17,normal
TX-3-0148,P37,P73,4500,64,normal
TX-3-0149,P73,P54,25000,40,normal
TX-3-0150,P70,P39,120000,33,normal
TX-3-0151,P47,P24,12000,39,normal
TX-3-0152,P32,P65,120000,52,normal
TX-3-0153,P62,P65,8500,43,normal
TX-3-0154,P37,P20,1200,31,normal
TX-3-0155,P07,P25,75000,56,normal
TX-3-0156,P17,P19,8500,38,normal
TX-3-0157,P70,P76,12000,40,normal
TX-3-0158,P10,P58,25000,34,normal
TX-3-0159,P52,P32,12000,24,normal
TX-3-0160,P75,P34,120000,21,normal
TX-3-0161,P71,P08,4500,60,normal
TX-3-0162,P64,P62,8500,7,normal
TX-3-0163,P65,P05,75000,56,normal
TX-3-0164,P46,P20,8500,37,normal
TX-3-0165,P29,P38,75000,70,normal
TX-3-0166,P10,P34,1200,43,normal
TX-3-0167,P78,P70,25000,20,normal
TX-3-0168,P20,P62,75000,62,normal
TX-3-0169,P17,P75,120000,8,normal
TX-3-0170,P40,P55,25000,19,normal
TX-3-0171,P44,P02,25000,17,normal
TX-3-0172,P28,P31,8500,15,normal
TX-3-0173,P77,P40,12000,14,normal
TX-3-0174,P62,P60,8500,28,normal
TX-3-0175,P52,P76,1200,51,normal
TX-3-0176,P45,P75,1200,34,normal
TX-3-0177,P67,P61,12000,44,normal
TX-3-0178,P25,P12,75000,34,normal
TX-3-0179,P73,P41,4500,55,normal
TX-3-0180,P76,P64,12000,10,normal
TX-3-0181,P09,P63,1200,48,normal
TX-3-0182,P28,P41,4500,68,normal
TX-3-0183,P44,P57,25000,51,normal
TX-3-0184,P48,P14,120000,5,normal
TX-3-0185,P22,P54,4500,16,normal
TX-3-0186,P29,P57,120000,11,normal
TX-3-0187,P75,P68,4500,62,normal
TX-3-0188,P27,P61,1200,70,normal
TX-3-0189,P27,P01,1200,21,normal
TX-3-0190,P66,P43,12000,31,normal
TX-3-0191,P44,P51,12000,57,normal
TX-3-0192,P28,P02,1200,42,normal
TX-3-0193,P28,P56,12000,6,normal
TX-3-0194,P78,P44,8500,46,normal
TX-3-0195,P60,P06,75000,30,normal
TX-3-0196,P73,P34,120000,51,normal
TX-3-0197,P09,P35,8500,68,normal
TX-3-0198,P43,P32,25000,62,normal
TX-3-0199,P52,P51,25000,13,normal
TX-3-0200,P18,P30,120000,61,normal
TX-3-0201,P33,P25,12000,43,normal
TX-3-0202,P13,P48,8500,15,normal
TX-3-0203,P31,P12,4500,25,normal
TX-3-0204,P22,P02,25000,14,normal
TX-3-0205,P48,P01,12000,48,normal
TX-3-0206,P24,P65,120000,64,normal
TX-3-0207,P43,P04,25000,69,normal
TX-3-0208,P01,P12,12000,24,normal
TX-3-0209,P69,P74,4500,66,normal
TX-3-0210,P58,P12,25000,20,normal
TX-3-0211,P14,P04,12000,7,normal
TX-3-0212,P48,P56,1200,21,normal
TX-3-0213,P55,P20,8500,60,normal
TX-3-0214,P27,P35,12000,53,normal
TX-3-0215,P32,P39,25000,44,normal
TX-3-0216,P49,P04,12000,53,normal
TX-3-0217,P18,P67,8500,30,normal
TX-3-0218,P19,P30,8500,7,normal
TX-3-0219,P23,P58,120000,36,normal
TX-3-0220,P68,P07,4500,30,normal
TX-3-0221,P03,P05,1200,47,normal
TX-3-0222,P27,P65,1200,55,normal
TX-3-0223,P24,P39,1200,58,normal
TX-3-0224,P34,P71,12000,63,normal
TX-3-0225,P59,P49,4500,22,normal
TX-3-0226,P29,P03,4500,18,normal
TX-3-0227,P65,P49,8500,12,normal
TX-3-0228,P60,P29,1200,39,normal
TX-3-0229,P23,P77,8500,15,normal
TX-3-0230,P49,P54,25000,24,normal
TX-3-0231,P10,P45,120000,50,normal
TX-3-0232,P07,P08,8500,2,normal
TX-3-0233,P20,P77,25000,26,normal
TX-3-0234,P38,P75,4500,16,normal
TX-3-0235,P67,P18,120000,42,normal
TX-3-0236,P35,P67,8500,63,normal
TX-3-0237,P35,P20,75000,38,normal
TX-3-0238,P08,P63,12000,9,normal
TX-3-0239,P47,P23,25000,23,normal
TX-3-0240,P18,P35,25000,30,normal
TX-3-0241,P53,P56,120000,14,normal
TX-3-0242,P57,P64,75000,35,normal
TX-3-0243,P40,P53,75000,57,normal
TX-3-0244,P33,P57,120000,39,normal
TX-3-0245,P66,P20,120000,39,normal
TX-3-0246,P35,P01,1200,36,normal
TX-3-0247,P48,P11,25000,38,normal
TX-3-0248,P65,P07,4500,6,normal
TX-3-0249,P45,P55,75000,47,normal
TX-3-0250,P15,P57,1200,9,normal
TX-3-0251,P38,P75,1200,38,normal
TX-3-0252,P73,P38,1200,64,normal
TX-3-0253,P29,P16,4500,58,normal
TX-3-0254,P16,P54,8500,19,normal
TX-3-0255,P21,P67,4500,44,normal
TX-3-0256,P41,P48,1200,42,normal
TX-3-0257,P65,P07,25000,5,normal
TX-3-0258,P21,P58,1200,45,normal
TX-3-0259,P14,P29,75000,37,normal
TX-3-0260,P66,P10,25000,64,normal
TX-3-0261,P08,P77,75000,51,normal
TX-3-0262,P77,P03,8500,49,normal
TX-3-0263,P20,P06,120000,21,normal
TX-3-0264,P41,P35,8500,29,normal
TX-3-0265,P09,P26,120000,59,normal
TX-3-0266,P60,P32,8500,21,normal
TX-3-0267,P48,P07,75000,12,normal
TX-3-0268,P54,P04,4500,24,normal
TX-3-0269,P46,P08,1200,41,normal
TX-3-0270,P07,P16,25000,40,normal
TX-3-0271,P30,P18,25000,1,normal
TX-3-0272,P78,P17,8500,14,normal
TX-3-0273,P06,P52,75000,15,normal
TX-3-0274,P28,P13,4500,36,normal
TX-3-0275,P70,P72,8500,4,normal
TX-3-0276,P74,P06,12000,36,normal
TX-3-0277,P09,P44,25000,10,normal
TX-3-0278,P30,P45,4500,5,normal
TX-3-0279,P56,P48,4500,54,normal
TX-3-0280,P04,P21,8500,4,normal
TX-3-0281,P19,P46,25000,46,normal
TX-3-0282,P09,P70,120000,57,normal
TX-3-0283,P72,P57,4500,69,normal
TX-3-0284,P57,P72,1200,50,normal
TX-3-0285,P05,P70,120000,67,normal
TX-3-0286,P27,P04,120000,23,normal
TX-3-0287,P37,P47,120000,67,normal
TX-3-0288,P25,P67,12000,24,normal
TX-3-0289,P22,P27,8500,15,normal
TX-3-0290,P01,P50,25000,39,normal
TX-3-0291,P18,P57,12000,22,normal
TX-3-0292,P52,P29,120000,51,normal
TX-3-0293,P62,P60,4500,16,normal
TX-3-0294,P07,P63,12000,10,normal
TX-3-0295,P15,P64,25000,26,normal
TX-3-0296,P57,P76,120000,7,normal
TX-3-0297,P63,P55,25000,53,normal
TX-3-0298,P34,P14,120000,24,normal
TX-3-0299,P21,P55,12000,23,normal
TX-3-0300,P42,P63,120000,33,normal
TX-3-0301,P34,P08,25000,69,normal
TX-3-0302,P74,P77,12000,15,normal
TX-3-0303,P78,P02,4500,10,normal
TX-3-0304,P26,P66,75000,55,normal
TX-3-0305,P27,P11,75000,23,normal
TX-3-0306,P18,P24,75000,64,normal
TX-3-0307,P45,P40,75000,63,normal
TX-3-0308,P43,P46,25000,55,normal
TX-3-0309,P34,P21,75000,18,normal
TX-3-0310,P25,P06,120000,24,normal
TX-3-0311,P77,P49,4500,51,normal
TX-3-0312,P56,P46,4500,56,normal
TX-3-0313,P42,P30,1200,69,normal
TX-3-0314,P35,P03,120000,59,normal
TX-3-0315,P11,P45,4500,35,normal
TX-3-0316,P78,P13,12000,19,normal
TX-3-0317,P13,P41,4500,23,normal
TX-3-0318,P26,P74,4500,34,normal
TX-3-0319,P16,P46,75000,24,normal
TX-3-0320,P57,P70,25000,13,normal
TX-3-0321,P64,P57,1200,54,normal
TX-3-0322,P78,P64,25000,70,normal
TX-3-0323,P68,P51,1200,7,normal
TX-3-0324,P05,P11,8500,25,normal
TX-3-0325,P54,P62,75000,46,normal
TX-3-0326,P57,P21,120000,43,normal
TX-3-0327,P44,P42,12000,14,normal
TX-3-0328,P09,P43,75000,35,normal
TX-3-0329,P02,P22,1200,12,normal
TX-3-0330,P09,P02,8500,56,normal
TX-3-0331,P74,P61,22000,20,structuring
TX-3-0332,P04,P61,42000,20,structuring
TX-3-0333,P75,P61,31000,21,structuring
TX-3-0334,P23,P61,49000,21,structuring
TX-3-0335,P52,P61,22000,22,structuring
TX-3-0336,P19,P61,31000,22,structuring
TX-3-0337,P37,P61,42000,23,structuring
TX-3-0338,P29,P61,31000,23,structuring
TX-3-0339,P49,P61,42000,24,structuring
TX-3-0340,P41,P61,42000,24,structuring
TX-3-0341,P14,P61,49000,25,structuring
TX-3-0342,P30,P61,31000,25,structuring
TX-3-0343,P48,P61,42000,26,structuring
TX-3-0344,P57,P61,49000,26,structuring
TX-3-0345,P28,P61,42000,27,structuring
TX-3-0346,P16,P61,31000,27,structuring
TX-3-0347,P32,P61,18000,28,structuring
TX-3-0348,P75,P61,31000,28,structuring
TX-3-0349,P48,P61,31000,29,structuring
TX-3-0350,P74,P61,18000,29,structuring
TX-3-0351,P04,P61,22000,30,structuring
TX-3-0352,P44,P61,42000,30,structuring
TX-3-0353,P32,P61,49000,31,structuring
TX-3-0354,P74,P61,18000,31,structuring
TX-3-0355,P61,P14,310000,32,consolidation
TX-3-0356,P61,P14,310000,34,consolidation
TX-3-0357,P61,P14,310000,36,consolidation
