call_id,caller,receiver,day,duration_sec,type
CDR-3-0103,P61,P16,10,861,normal
CDR-3-0104,P13,P16,41,773,normal
CDR-3-0105,P18,P24,3,857,normal
CDR-3-0106,P42,P48,55,288,normal
CDR-3-0107,P44,P29,8,62,normal
CDR-3-0108,P28,P44,43,57,normal
CDR-3-0109,P40,P37,3,527,normal
CDR-3-0110,P31,P14,10,265,normal
CDR-3-0111,P28,P35,17,741,normal
CDR-3-0112,P28,P36,28,873,normal
CDR-3-0113,P43,P47,23,56,normal
CDR-3-0114,P46,P49,42,209,normal
CDR-3-0115,P28,P34,27,282,normal
CDR-3-0116,P37,P42,52,250,normal
CDR-3-0117,P35,P49,40,292,normal
CDR-3-0118,P28,P42,15,467,normal
CDR-3-0119,P39,P47,41,243,normal
CDR-3-0120,P37,P34,53,725,normal
CDR-3-0121,P34,P48,5,245,normal
CDR-3-0122,P44,P43,3,117,normal
CDR-3-0123,P40,P39,30,877,normal
CDR-3-0124,P29,P14,55,340,normal
CDR-3-0125,P47,P41,51,714,normal
CDR-3-0126,P36,P31,68,219,normal
CDR-3-0127,P46,P38,38,369,normal
CDR-3-0128,P49,P32,25,466,normal
CDR-3-0129,P48,P27,42,443,normal
CDR-3-0130,P41,P51,32,572,normal
CDR-3-0131,P33,P30,59,282,normal
CDR-3-0132,P27,P42,24,687,normal
CDR-3-0133,P42,P35,18,141,normal
CDR-3-0134,P47,P50,33,719,normal
CDR-3-0135,P14,P29,67,341,normal
CDR-3-0136,P46,P32,14,753,normal
CDR-3-0137,P45,P48,37,383,normal
CDR-3-0138,P33,P32,29,122,normal
CDR-3-0139,P42,P39,64,680,normal
CDR-3-0140,P36,P52,13,596,normal
CDR-3-0141,P43,P31,22,417,normal
CDR-3-0142,P41,P40,65,34,normal
CDR-3-0143,P50,P48,17,595,normal
CDR-3-0144,P34,P35,61,733,normal
CDR-3-0145,P50,P35,68,865,normal
CDR-3-0146,P36,P33,44,349,normal
CDR-3-0147,P48,P47,54,450,normal
CDR-3-0148,P14,P37,24,172,normal
CDR-3-0149,P34,P49,58,437,normal
CDR-3-0150,P46,P41,24,531,normal
CDR-3-0151,P44,P39,25,269,normal
CDR-3-0152,P49,P40,21,526,normal
CDR-3-0153,P28,P29,69,24,normal
CDR-3-0154,P35,P31,19,735,normal
CDR-3-0155,P37,P52,16,606,normal
CDR-3-0156,P49,P29,22,740,normal
CDR-3-0157,P31,P51,27,839,normal
CDR-3-0158,P52,P33,3,883,normal
CDR-3-0159,P41,P31,48,649,normal
CDR-3-0160,P41,P38,45,732,normal
CDR-3-0161,P30,P43,11,832,normal
CDR-3-0162,P28,P37,39,631,normal
CDR-3-0163,P41,P31,51,713,normal
CDR-3-0164,P44,P39,3,188,normal
CDR-3-0165,P39,P30,31,228,normal
CDR-3-0166,P32,P48,61,640,normal
CDR-3-0167,P39,P41,39,592,normal
CDR-3-0168,P31,P48,56,310,normal
CDR-3-0169,P50,P33,62,142,normal
CDR-3-0170,P39,P42,21,848,normal
CDR-3-0171,P43,P35,37,407,normal
CDR-3-0172,P45,P47,34,62,normal
CDR-3-0173,P45,P49,22,431,normal
CDR-3-0174,P40,P31,4,600,normal
CDR-3-0175,P45,P32,20,251,normal
CDR-3-0176,P48,P38,30,184,normal
CDR-3-0177,P43,P52,54,315,normal
CDR-3-0178,P31,P35,23,402,normal
CDR-3-0179,P33,P43,50,733,normal
CDR-3-0180,P40,P52,39,136,normal
CDR-3-0181,P52,P37,4,214,normal
CDR-3-0182,P32,P40,27,368,normal
CDR-3-0183,P52,P27,56,69,normal
CDR-3-0184,P34,P30,20,811,normal
CDR-3-0185,P39,P29,55,413,normal
CDR-3-0186,P51,P31,18,294,normal
CDR-3-0187,P44,P47,47,575,normal
CDR-3-0188,P44,P41,14,163,normal
CDR-3-0189,P37,P41,4,77,normal
CDR-3-0190,P38,P48,31,168,normal
CDR-3-0191,P34,P51,58,45,normal
CDR-3-0192,P50,P43,47,879,normal
CDR-3-0193,P42,P39,7,225,normal
CDR-3-0194,P41,P31,11,313,normal
CDR-3-0195,P28,P51,32,703,normal
CDR-3-0196,P37,P29,18,275,normal
CDR-3-0197,P45,P27,40,843,normal
CDR-3-0198,P40,P37,52,655,normal
CDR-3-0199,P49,P46,25,251,normal
CDR-3-0200,P50,P44,57,533,normal
CDR-3-0201,P31,P47,65,282,normal
CDR-3-0202,P27,P52,38,427,normal
CDR-3-0203,P45,P33,25,193,normal
CDR-3-0204,P14,P31,24,790,normal
CDR-3-0205,P35,P28,13,306,normal
CDR-3-0206,P33,P51,2,695,normal
CDR-3-0207,P14,P28,46,55,normal
CDR-3-0208,P39,P45,33,679,normal
CDR-3-0209,P45,P47,11,235,normal
CDR-3-0210,P43,P42,63,845,normal
CDR-3-0211,P59,P74,39,581,normal
CDR-3-0212,P70,P66,10,35,normal
CDR-3-0213,P54,P64,59,488,normal
CDR-3-0214,P75,P69,2,639,normal
CDR-3-0215,P63,P62,61,263,normal
CDR-3-0216,P62,P65,48,676,normal
CDR-3-0217,P62,P74,41,419,normal
CDR-3-0218,P73,P67,29,44,normal
CDR-3-0219,P66,P37,40,768,normal
CDR-3-0220,P65,P71,3,251,normal
CDR-3-0221,P71,P69,56,71,normal
CDR-3-0222,P73,P57,54,794,normal
CDR-3-0223,P73,P77,41,623,normal
CDR-3-0224,P60,P65,21,44,normal
CDR-3-0225,P37,P54,47,510,normal
CDR-3-0226,P58,P63,42,798,normal
CDR-3-0227,P61,P71,62,472,normal
CDR-3-0228,P56,P59,70,513,normal
CDR-3-0229,P55,P57,2,575,normal
CDR-3-0230,P66,P57,64,514,normal
CDR-3-0231,P58,P65,27,850,normal
CDR-3-0232,P67,P59,64,649,normal
CDR-3-0233,P66,P53,13,305,normal
CDR-3-0234,P69,P67,70,624,normal
CDR-3-0235,P73,P74,46,446,normal
CDR-3-0236,P70,P71,69,26,normal
CDR-3-0237,P54,P72,56,452,normal
CDR-3-0238,P56,P66,43,524,normal
CDR-3-0239,P54,P57,19,591,normal
CDR-3-0240,P56,P65,44,472,normal
CDR-3-0241,P64,P76,57,621,normal
CDR-3-0242,P76,P71,35,641,normal
CDR-3-0243,P62,P69,20,547,normal
CDR-3-0244,P57,P54,63,540,normal
CDR-3-0245,P62,P65,63,196,normal
CDR-3-0246,P58,P65,26,217,normal
CDR-3-0247,P56,P53,66,112,normal
CDR-3-0248,P63,P66,11,810,normal
CDR-3-0249,P57,P62,14,352,normal
CDR-3-0250,P55,P56,8,776,normal
CDR-3-0251,P75,P72,29,655,normal
CDR-3-0252,P62,P72,67,351,normal
CDR-3-0253,P58,P62,56,446,normal
CDR-3-0254,P66,P70,57,662,normal
CDR-3-0255,P53,P55,21,296,normal
CDR-3-0256,P72,P55,28,99,normal
CDR-3-0257,P54,P69,42,895,normal
CDR-3-0258,P69,P63,5,609,normal
CDR-3-0259,P68,P76,28,516,normal
CDR-3-0260,P54,P67,15,792,normal
CDR-3-0261,P37,P59,15,871,normal
CDR-3-0262,P59,P75,49,455,normal
CDR-3-0263,P64,P68,13,863,normal
CDR-3-0264,P69,P58,35,583,normal
CDR-3-0265,P64,P54,29,84,normal
CDR-3-0266,P57,P59,67,191,normal
CDR-3-0267,P73,P76,17,592,normal
CDR-3-0268,P60,P70,62,551,normal
CDR-3-0269,P54,P58,13,675,normal
CDR-3-0270,P71,P63,4,770,normal
CDR-3-0271,P70,P57,16,809,normal
CDR-3-0272,P71,P65,51,840,normal
CDR-3-0273,P70,P60,1,563,normal
CDR-3-0274,P68,P77,34,188,normal
CDR-3-0275,P57,P73,46,130,normal
CDR-3-0276,P75,P67,40,567,normal
CDR-3-0277,P71,P64,20,505,normal
CDR-3-0278,P55,P53,10,82,normal
CDR-3-0279,P63,P74,25,26,normal
CDR-3-0280,P63,P74,55,356,normal
CDR-3-0281,P57,P55,51,520,normal
CDR-3-0282,P62,P66,11,871,normal
CDR-3-0283,P57,P60,20,572,normal
CDR-3-0284,P72,P62,59,21,normal
CDR-3-0285,P76,P68,3,257,normal
CDR-3-0286,P71,P70,64,580,normal
CDR-3-0287,P54,P75,9,302,normal
CDR-3-0288,P68,P62,4,788,normal
CDR-3-0289,P69,P72,56,182,normal
CDR-3-0290,P53,P75,62,616,normal
CDR-3-0291,P37,P61,42,228,normal
CDR-3-0292,P71,P72,1,540,normal
CDR-3-0293,P55,P77,35,329,normal
CDR-3-0294,P66,P56,16,629,normal
CDR-3-0295,P70,P68,61,424,normal
CDR-3-0296,P74,P54,14,334,normal
CDR-3-0297,P68,P60,17,600,normal
CDR-3-0298,P55,P76,32,664,normal
CDR-3-0299,P72,P55,20,733,normal
CDR-3-0300,P54,P37,45,150,normal
CDR-3-0301,P57,P59,64,550,normal
CDR-3-0302,P66,P62,5,868,normal
CDR-3-0303,P68,P53,43,743,normal
CDR-3-0304,P75,P66,9,38,normal
CDR-3-0305,P37,P64,41,352,normal
CDR-3-0306,P69,P54,69,641,normal
CDR-3-0307,P72,P53,62,219,normal
CDR-3-0308,P66,P65,43,57,normal
CDR-3-0309,P61,P69,11,499,normal
CDR-3-0310,P58,P68,2,797,normal
CDR-3-0311,P63,P55,59,205,normal
CDR-3-0312,P53,P59,65,776,normal
CDR-3-0313,P58,P59,8,472,normal
CDR-3-0314,P60,P53,37,881,normal
CDR-3-0315,P55,P58,65,356,normal
CDR-3-0316,P33,P68,55,792,burst
CDR-3-0317,P14,P49,55,637,burst
CDR-3-0318,P21,P47,55,699,burst
CDR-3-0319,P11,P14,55,669,burst
CDR-3-0320,P70,P23,55,563,burst
CDR-3-0321,P35,P15,55,314,burst
CDR-3-0322,P75,P05,55,135,burst
CDR-3-0323,P11,P23,55,1140,burst
CDR-3-0324,P10,P44,55,989,burst
CDR-3-0325,P41,P71,55,678,burst
CDR-3-0326,P71,P10,55,1101,burst
CDR-3-0327,P64,P74,55,602,burst
CDR-3-0328,P26,P30,55,819,burst
CDR-3-0329,P57,P06,55,272,burst
CDR-3-0330,P74,P46,55,520,burst
CDR-3-0331,P48,P37,55,854,burst
CDR-3-0332,P13,P04,55,240,burst
CDR-3-0333,P32,P31,55,418,burst
CDR-3-0334,P14,P58,55,508,burst
CDR-3-0335,P32,P53,55,422,burst
CDR-3-0336,P68,P10,55,920,burst
CDR-3-0337,P35,P45,55,607,burst
CDR-3-0338,P75,P24,55,446,burst
CDR-3-0339,P21,P13,55,241,burst
CDR-3-0340,P39,P41,61,212,burst
CDR-3-0341,P67,P68,61,180,burst
CDR-3-0342,P24,P54,61,1134,burst
CDR-3-0343,P33,P20,61,952,burst
CDR-3-0344,P08,P24,61,1095,burst
CDR-3-0345,P69,P49,61,809,burst
CDR-3-0346,P38,P43,61,1038,burst
CDR-3-0347,P02,P66,61,1086,burst
CDR-3-0348,P58,P72,61,136,burst
CDR-3-0349,P23,P61,61,241,burst
CDR-3-0350,P39,P45,61,859,burst
CDR-3-0351,P48,P22,61,1097,burst
CDR-3-0352,P56,P19,61,476,burst
CDR-3-0353,P17,P15,61,688,burst
CDR-3-0354,P59,P48,61,1099,burst
CDR-3-0355,P44,P07,61,835,burst
CDR-3-0356,P07,P26,61,526,burst
CDR-3-0357,P35,P45,61,446,burst
CDR-3-0358,P14,P37,61,822,burst
CDR-3-0359,P72,P09,61,498,burst
CDR-3-0360,P10,P30,61,483,burst
CDR-3-0361,P08,P57,61,1060,burst
CDR-3-0362,P61,P55,61,780,burst
CDR-3-0363,P06,P18,61,893,burst
CDR-3-0364,P38,P24,66,1199,burst
CDR-3-0365,P43,P31,66,517,burst
CDR-3-0366,P03,P11,66,401,burst
CDR-3-0367,P38,P63,66,642,burst
CDR-3-0368,P22,P08,66,925,burst
CDR-3-0369,P16,P04,66,1188,burst
CDR-3-0370,P02,P38,66,1162,burst
CDR-3-0371,P56,P69,66,970,burst
CDR-3-0372,P60,P20,66,432,burst
CDR-3-0373,P66,P78,66,344,burst
CDR-3-0374,P72,P02,66,171,burst
CDR-3-0375,P59,P61,66,965,burst
CDR-3-0376,P56,P42,66,186,burst
CDR-3-0377,P42,P24,66,243,burst
CDR-3-0378,P15,P22,66,603,burst
CDR-3-0379,P46,P67,66,282,burst
CDR-3-0380,P55,P16,66,995,burst
CDR-3-0381,P23,P60,66,549,burst
CDR-3-0382,P67,P20,66,1099,burst
CDR-3-0383,P69,P73,66,447,burst
CDR-3-0384,P06,P03,66,1039,burst
CDR-3-0385,P05,P61,66,977,burst
CDR-3-0386,P28,P18,66,933,burst
CDR-3-0387,P27,P45,66,465,burst
CDR-3-0388,P43,P09,27,172,noise
CDR-3-0389,P38,P57,16,18,noise
CDR-3-0390,P10,P20,64,82,noise
CDR-3-0391,P07,P46,22,158,noise
CDR-3-0392,P49,P18,1,7,noise
CDR-3-0393,P49,P16,58,51,noise
CDR-3-0394,P73,P74,25,171,noise
CDR-3-0395,P02,P76,46,25,noise
CDR-3-0396,P21,P59,45,135,noise
CDR-3-0397,P13,P19,15,95,noise
CDR-3-0398,P50,P54,46,79,noise
CDR-3-0399,P60,P30,43,132,noise
CDR-3-0400,P24,P25,62,117,noise
CDR-3-0401,P59,P32,44,178,noise
CDR-3-0402,P27,P47,37,55,noise
CDR-3-0403,P66,P26,13,167,noise
CDR-3-0404,P43,P08,16,42,noise
CDR-3-0405,P43,P40,57,87,noise
CDR-3-0406,P74,P42,13,74,noise
CDR-3-0407,P59,P65,68,176,noise
CDR-3-0408,P15,P50,16,78,noise
CDR-3-0409,P73,P33,5,58,noise
CDR-3-0410,P05,P37,8,43,noise
CDR-3-0411,P31,P49,58,13,noise
CDR-3-0412,P44,P05,58,105,noise
CDR-3-0413,P15,P41,69,31,noise
CDR-3-0414,P46,P25,58,68,noise
CDR-3-0415,P72,P20,11,106,noise
CDR-3-0416,P18,P56,53,113,noise
CDR-3-0417,P67,P29,66,163,noise
CDR-3-0418,P31,P46,63,94,noise
CDR-3-0419,P18,P55,60,87,noise
CDR-3-0420,P45,P73,21,14,noise
CDR-3-0421,P32,P45,29,25,noise
CDR-3-0422,P24,P28,53,114,noise
CDR-3-0423,P64,P69,51,94,noise
CDR-3-0424,P36,P05,67,33,noise
CDR-3-0425,P57,P46,43,147,noise
CDR-3-0426,P76,P31,31,136,noise
CDR-3-0427,P02,P46,5,6,noise
CDR-3-0428,P59,P16,8,98,noise
CDR-3-0429,P60,P05,23,142,noise
CDR-3-0430,P28,P54,32,22,noise
CDR-3-0431,P13,P51,57,67,noise
CDR-3-0432,P40,P26,30,138,noise
